Batch of Curriculum,Department,Program,Year Level,Semester,Course Code,Course Title,Lec,Lab,GenEd,Pre/Co-Requisite
2023,COED,BSEDM,1st Year,First Semester,MAT101,Mathematics in the Modern World,3,0,TRUE,NONE
2023,COED,BSEDM,1st Year,First Semester,PSY100,Understanding the Self,3,0,TRUE,NONE
2023,COED,BSEDM,1st Year,First Semester,READ100,Science and Development of Rwading,3,0,TRUE,NONE
2023,COED,BSEDM,1st Year,First Semester,ITE101,Living in the IT Era,3,0,TRUE,NONE
2023,COED,BSEDM,1st Year,First Semester,SMM100,History of Mathematics,3,0,FALSE,NONE
2023,COED,BSEDM,1st Year,First Semester,SMM101,College and Advanced Algebra,3,0,FALSE,NONE
2023,COED,BSEDM,1st Year,First Semester,PHD101,PnCians Holistic Development 1,1,0,TRUE,NONE
2023,COED,BSEDM,1st Year,First Semester,PED101,PATHFit 1: Movement Competency Training MCT,2,0,TRUE,NONE
2023,COED,BSEDM,1st Year,First Semester,NSTP1,National Service Training Program 1,3,0,TRUE,NONE
2023,COED,BSEDM,1st Year,Second Semester,GAD101,Gender and Development,3,0,TRUE,NONE
2023,COED,BSEDM,1st Year,Second Semester,HIS101,Readings in Philippines History,3,0,TRUE,NONE
2023,COED,BSEDM,1st Year,Second Semester,HMN101,Art Appreciation,3,0,TRUE,NONE
2023,COED,BSEDM,1st Year,Second Semester,COM101,Purposive Communication,3,0,TRUE,NONE
2023,COED,BSEDM,1st Year,Second Semester,SMM102,Trigonometry,3,0,FALSE,SMM101
2023,COED,BSEDM,1st Year,Second Semester,CED101,"The Child and Adolescent Learners and
Learning Principles",3,0,FALSE,NONE
2023,COED,BSEDM,1st Year,Second Semester,CED102,Technology for Teaching and Learning 1,3,0,FALSE,NONE
2023,COED,BSEDM,1st Year,Second Semester,PHD102,PnCians Holistic Development,1,0,TRUE,PHD101
2023,COED,BSEDM,1st Year,Second Semester,PED102,PATHFit 2: Exercise-Based Fitness Activities,2,0,TRUE,PED101
2023,COED,BSEDM,1st Year,Second Semester,NSTP2,National Service Training Program 2,3,0,TRUE,NSTP1
2023,COED,BSEDM,2nd Year,First Semester,STS101,"Science, Technology and Society",3,0,TRUE,NONE
2023,COED,BSEDM,2nd Year,First Semester,SOC101,The Contemporary World,3,0,TRUE,NONE
2023,COED,BSEDM,2nd Year,First Semester,RIZ101,Life and World of Rizal,3,0,TRUE,NONE
2023,COED,BSEDM,2nd Year,First Semester,ENT101,The Entrepreneurial Mind,3,0,TRUE,NONE
2023,COED,BSEDM,2nd Year,First Semester,ENV101,Ethics,3,0,TRUE,NONE
2023,COED,BSEDM,2nd Year,First Semester,SMM103,Plane and Solid geometry,3,0,FALSE,SMM101
2023,COED,BSEDM,2nd Year,First Semester,SMM104,Logic and Set Theory,3,0,FALSE,NONE
2023,COED,BSEDM,2nd Year,First Semester,PED103,"PATHFit 3: Choice of Dance, Sports, Martial Arts, 
Group Exercise, Outdoor and Adventure Activities",2,0,TRUE,PED102
2023,COED,BSEDM,2nd Year,Second Semester,CED103,"The Teacher and the Community, School and
Organizational Leaders",3,0,FALSE,NONE
2023,COED,BSEDM,2nd Year,Second Semester,CED104,Foundation of Special and Inclusive Education,3,0,FALSE,NONE
2023,COED,BSEDM,2nd Year,Second Semester,CED105,Facilitating learner-Centered Teaching,3,0,FALSE,NONE
2023,COED,BSEDM,2nd Year,Second Semester,CED106,Assessment in Learning 1,3,0,FALSE,NONE
2023,COED,BSEDM,2nd Year,Second Semester,CED108,The Teaching Profession,3,0,FALSE,NONE
2023,COED,BSEDM,2nd Year,Second Semester,SMM105,Elementary Statistics & Probability,3,0,FALSE,NONE
2023,COED,BSEDM,2nd Year,Second Semester,SMM107,Mathematics of Investment,3,0,FALSE,SMM101
2023,COED,BSEDM,2nd Year,Second Semester,SMM108,Calculus 1,4,0,FALSE,"SMM102, SMM103, SMM101"
2023,COED,BSEDM,2nd Year,Second Semester,PED104,"PATHFit 4:Choice of Dance, Sports, Martial Arts,
Group Exercise, Outdoor and Adventure Activities",2,0,TRUE,PED103
2023,COED,BSEDM,3rd Year,First Semester,CED107,Assessment in Learning 2,3,0,FALSE,NONE
2023,COED,BSEDM,3rd Year,First Semester,CED109,The Teacher and the School Curriculum,3,0,FALSE,NONE
2023,COED,BSEDM,3rd Year,First Semester,SMM109,Abstract Algebra,3,0,FALSE,SMM104
2023,COED,BSEDM,3rd Year,First Semester,SMM116,Modern Geometry,3,0,FALSE,"SMM103, SMM104"
2023,COED,BSEDM,3rd Year,First Semester,SMM113,"Problem Solvig, Mathematical investigation, and
Modelling",3,0,FALSE,"SMM101, SMM103, SMM104"
2023,COED,BSEDM,3rd Year,First Semester,SMM106,Principles and Strategies of Teaching Mathematics,3,0,FALSE,NONE
2023,COED,BSEDM,3rd Year,First Semester,SMM112,Advance Statistics,3,0,FALSE,SMM105
2023,COED,BSEDM,3rd Year,First Semester,SMM111,Calculus 2,4,0,FALSE,SMM108
2023,COED,BSEDM,3rd Year,Second Semester,CED110,"Building and Enhancing New Literacies 
Across the Curriculum",3,0,FALSE,NONE
2023,COED,BSEDM,3rd Year,Second Semester,SMM115,Calculus 3,3,0,FALSE,SMM111
2023,COED,BSEDM,3rd Year,Second Semester,SMM110,Liniear Algebra,3,0,FALSE,SMM104
2023,COED,BSEDM,3rd Year,Second Semester,SMM117,Number Theory,3,0,FALSE,"SMM101, SMM104"
2023,COED,BSEDM,3rd Year,Second Semester,SMM118,Research in Mathematics,4,0,FALSE,SMM112
2023,COED,BSEDM,3rd Year,Second Semester,SMM114,"Technology for Teaching and Learning 2 - 
Instrumentation and Technology in Mathematics",3,0,FALSE,"CED106, CED107, CED108, SMM106"
2023,COED,BSEDM,3rd Year,Second Semester,SMM119,Assessment and Evaluatio in Mathematics,3,0,FALSE,SMM112
2023,COED,BSEDM,4th Year,First Semester,CED111,Field Study 1,3,0,FALSE,ALL PROFESSIONAL EDUCATION COURSES
2023,COED,BSEDM,4th Year,First Semester,CED112,Field Study 2,3,0,FALSE,ALL PROFESSIONAL EDUCATION COURSES
2023,COED,BSEDM,4th Year,First Semester,CED201,"Competency  Appraisal 1 (General Education 
Specialization)",3,0,FALSE,NONE
2023,COED,BSEDM,4th Year,Second Semester,CED113,Teaching Intership,0,6,FALSE,"CED111, CED112"
2023,COED,BSEDM,4th Year,Second Semester,CED202,Competency  Appraisal 2 (Professional Education),3,0,FALSE,CED201
